name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
hyundai i20 1.4 crdi asta,2012.0,500000.0,53000.0,diesel,individual,manual,second owner,23.0,1396.0,90,5.0
maruti alto lx,,150000.0,80000.0,petrol,individual,manual,second owner,19.7,796.0,46.3,5.0
hyundai i20 2015-2017 asta 1.4 crdi,2016.0,680000.0,100000.0,diesel,individual,manual,first owner,22.54,1396.0,88.73,5.0
mahindra verito 1.5 d4 bsiii,2011.0,174000.0,100000.0,diesel,individual,manual,second owner,21.0,1461.0,64.1,5.0
honda wr-v i-dtec vx,2017.0,950000.0,50000.0,diesel,individual,manual,first owner,25.5,1498.0,98.6,5.0
maruti swift dzire zdi,2015.0,525000.0,40000.0,diesel,individual,manual,first owner,26.59,1248.0,74,5.0
maruti sx4 zdi,2012.0,600000.0,72000.0,diesel,individual,manual,first owner,21.5,1248.0,88.8,5.0
tata tigor 2017-2020 xz,2018.0,500000.0,35000.0,petrol,individual,manual,first owner,20.3,1199.0,83.81,5.0
maruti baleno delta 1.2,2016.0,575000.0,45000.0,petrol,individual,manual,first owner,21.4,1197.0,83.1,5.0
maruti alto 800 lxi,2017.0,275000.0,28000.0,petrol,individual,manual,first owner,24.7,796.0,47.3,5.0
chevrolet enjoy tcdi ltz 7 seater,2013.0,300000.0,70000.0,diesel,individual,manual,first owner,18.2,1248.0,73.8,7.0
maruti wagon r lxi minor,2009.0,220000.0,120000.0,petrol,individual,manual,first owner,18.9,1061.0,67,5.0
maruti omni e mpi std bs iv,2018.0,254999.0,25000.0,petrol,individual,manual,first owner,16.8,796.0,34.2,
maruti vitara brezza ldi option,2017.0,670000.0,70000.0,diesel,individual,manual,first owner,24.3,1248.0,88.5,5.0
fiat palio 1.2 elx,2003.0,70000.0,50000.0,petrol,individual,manual,second owner,19.44,1248.0,74,5.0
maruti omni 8 seater bsiv,2012.0,150000.0,35000.0,petrol,individual,manual,second owner,14.0,796.0,35,5.0
hyundai i20 1.2 asta dual tone,2018.0,730000.0,2388.0,petrol,individual,manual,first owner,18.6,1197.0,81.83,5.0
maruti vitara brezza ldi,2017.0,650000.0,16200.0,diesel,individual,manual,first owner,24.3,1248.0,88.5,5.0
maruti alto 800 cng lxi optional,2019.0,330000.0,10000.0,cng,individual,manual,second owner,19.44,796.0,40.3,4.0
maruti alto k10 vxi airbag,2019.0,366000.0,15000.0,petrol,individual,manual,first owner,23.95,998.0,67.1,5.0
hyundai verna vtvt 1.6 sx option,2019.0,1149000.0,5000.0,petrol,individual,manual,first owner,17.0,1591.0,121.3,5.0
datsun go d,2016.0,150000.0,42000.0,petrol,individual,manual,first owner,20.63,1198.0,67,5.0
tata safari dicor 2.2 lx 4x2,2011.0,425000.0,60000.0,diesel,individual,manual,second owner,13.93,2179.0,138.03,7.0
maruti 800 std,2012.0,150000.0,76000.0,petrol,individual,manual,first owner,16.1,796.0,37,4.0
jeep compass 1.4 limited plus bsiv,2019.0,400000.0,5000.0,petrol,individual,automatic,first owner,16.0,1368.0,160.77,5.0
honda city i vtec vx,2018.0,925000.0,28900.0,petrol,dealer,manual,first owner,17.8,1497.0,117.3,5.0
honda city v mt,2013.0,425000.0,86300.0,petrol,dealer,manual,first owner,16.8,1497.0,116.3,5.0
maruti swift dzire vxi at,2018.0,675000.0,23300.0,petrol,dealer,automatic,first owner,18.5,1197.0,83.14,5.0
maruti vitara brezza vdi,2018.0,819999.0,32600.0,diesel,dealer,manual,first owner,24.3,1248.0,88.5,5.0
maruti alto k10 vxi,2018.0,390000.0,10300.0,petrol,dealer,manual,first owner,23.95,998.0,67.05,5.0
toyota fortuner 4x4 mt,2014.0,,77000.0,diesel,dealer,manual,first owner,12.55,1248.0,168.5,7.0
toyota innova 2.5 g (diesel) 7 seater bs iv,2013.0,700000.0,99000.0,diesel,dealer,manual,first owner,12.99,2494.0,100,7.0
mercedes-benz b class b180,2014.0,,27800.0,diesel,dealer,automatic,second owner,14.8,2143.0,120.7,5.0
honda amaze s diesel,2015.0,425000.0,49800.0,diesel,dealer,manual,first owner,24.7,1498.0,98.63,5.0
mitsubishi pajero sport 4x4,2013.0,1090000.0,151000.0,diesel,dealer,manual,first owner,13.5,2477.0,175.56,7.0
honda city i dtec s,2015.0,600000.0,54700.0,diesel,dealer,manual,first owner,26.0,1498.0,98.6,5.0
maruti ciaz zeta,2018.0,850000.0,64000.0,petrol,dealer,manual,first owner,20.65,1462.0,103.25,5.0
honda jazz vx diesel,2015.0,525000.0,63000.0,diesel,dealer,manual,first owner,27.3,1498.0,98.6,5.0
toyota innova crysta 2.8 zx at bsiv,2016.0,,127700.0,diesel,dealer,automatic,second owner,11.36,2755.0,171.5,7.0
toyota innova 2.5 g (diesel) 7 seater,2016.0,950000.0,99000.0,diesel,dealer,manual,first owner,12.99,2494.0,100.6,7.0
audi a6 2.0 tdi technology,2013.0,,33900.0,diesel,dealer,automatic,second owner,17.68,1968.0,174.33,5.0
toyota corolla altis 1.8 vl cvt,2018.0,,25000.0,petrol,dealer,automatic,first owner,14.28,1798.0,138.03,5.0
audi a6 2.0 tdi  design edition,2013.0,,50000.0,diesel,dealer,automatic,first owner,18.53,1968.0,187.74,5.0
mercedes-benz new c-class 220 cdi at,2013.0,,59000.0,diesel,dealer,automatic,first owner,14.84,2143.0,170,5.0
tata manza elan quadrajet bs iv,2011.0,265000.0,120000.0,diesel,individual,manual,first owner,21.12,1248.0,88.8,5.0
hyundai i10 magna,2011.0,190000.0,110000.0,petrol,individual,manual,third owner,20.36,1197.0,78.9,5.0
hyundai i20 asta 1.4 crdi,2013.0,425000.0,60000.0,diesel,individual,manual,first owner,21.27,1396.0,88.76,5.0
maruti swift dzire zdi,2015.0,630000.0,147000.0,diesel,individual,manual,second owner,26.59,1248.0,74,5.0
ford figo 1.2p titanium mt,2017.0,600000.0,25000.0,petrol,individual,manual,third owner,18.16,1196.0,86.8,5.0
maruti baleno delta 1.2,2019.0,650000.0,30000.0,petrol,individual,manual,first owner,21.4,1197.0,83.1,5.0
volkswagen ameo 1.5 tdi highline 16 alloy,2016.0,540000.0,40000.0,diesel,individual,manual,first owner,22.0,1498.0,108.495,5.0
honda city i dtec vx,2015.0,630000.0,135000.0,diesel,individual,manual,first owner,25.1,1498.0,98.6,5.0
maruti wagon r amt vxi,2018.0,448000.0,30000.0,petrol,individual,automatic,first owner,20.51,998.0,67,5.0
volkswagen ameo 1.5 tdi comfortline,2017.0,500000.0,80000.0,diesel,individual,manual,first owner,21.66,1498.0,108.62,5.0
maruti vitara brezza vdi,2016.0,745000.0,70000.0,diesel,individual,manual,first owner,24.3,1248.0,88.5,5.0
maruti vitara brezza zdi plus amt,2019.0,1025000.0,9850.0,diesel,individual,automatic,first owner,24.3,1248.0,88.5,5.0
hyundai i10 magna,2011.0,235000.0,60000.0,petrol,individual,manual,second owner,20.36,1197.0,78.9,5.0
maruti swift vdi deca,2016.0,630000.0,70000.0,diesel,individual,manual,first owner,25.2,1248.0,74,5.0
toyota fortuner 4x4 mt,2015.0,,78000.0,diesel,individual,manual,second owner,12.55,1248.0,168.5,7.0
maruti swift star vdi,2013.0,450000.0,120000.0,diesel,individual,manual,second owner,22.9,1248.0,74,5.0
maruti ertiga zxi,2012.0,450000.0,120000.0,petrol,individual,manual,second owner,16.02,1373.0,93.7,7.0
tata indica dls,2003.0,50000.0,70000.0,diesel,individual,manual,first owner,19.44,1248.0,74,5.0
volkswagen vento diesel highline,2013.0,450000.0,170000.0,diesel,individual,manual,first owner,20.54,1598.0,103.6,5.0
toyota innova 2.5 vx (diesel) 8 seater,2016.0,1200000.0,140000.0,diesel,individual,manual,first owner,12.99,2494.0,100.6,
ford ecosport 1.5 tdci titanium plus bsiv,2015.0,610000.0,90000.0,diesel,individual,manual,first owner,22.77,1498.0,98.59,5.0
bmw x1 sdrive20i xline,2016.0,400000.0,30000.0,petrol,individual,automatic,second owner,15.71,1998.0,189,5.0
maruti celerio zxi mt bsiv,2017.0,484999.0,10000.0,petrol,dealer,manual,first owner,23.1,998.0,67.04,5.0
datsun go a petrol,2016.0,275000.0,49000.0,petrol,dealer,manual,first owner,19.02,1198.0,67.05,5.0
maruti alto 800 vxi bsiv,2016.0,315000.0,32000.0,petrol,dealer,manual,first owner,24.7,796.0,47.3,5.0
maruti alto 800 lxi bsiv,2016.0,275000.0,38000.0,petrol,dealer,manual,first owner,24.7,796.0,47.3,5.0
maruti swift vdi bsiv w abs,2015.0,475000.0,78000.0,diesel,dealer,manual,first owner,19.44,1248.0,74,5.0
hyundai i10 era 1.1,2012.0,290000.0,28000.0,petrol,dealer,manual,first owner,19.81,1086.0,68.05,5.0
maruti omni 8 seater bsiv,2017.0,280000.0,32000.0,petrol,dealer,manual,first owner,14.0,796.0,35,5.0
maruti wagon r lxi lpg bsiv,2010.0,225000.0,44000.0,lpg,dealer,manual,first owner,26.2,998.0,58.2,5.0
volkswagen polo 1.2 mpi comfortline,2015.0,455000.0,42000.0,petrol,dealer,manual,first owner,16.47,1198.0,74,5.0
hyundai i10 magna 1.1l,2015.0,351000.0,45000.0,petrol,dealer,manual,second owner,19.81,1086.0,68.05,5.0
volkswagen vento petrol highline,2012.0,535000.0,12000.0,petrol,dealer,manual,second owner,15.04,1598.0,103.6,5.0
maruti zen estilo lxi bsiii,2009.0,175000.0,55500.0,petrol,dealer,manual,first owner,18.2,998.0,67.1,5.0
hyundai i20 asta optional with sunroof 1.2,2013.0,525000.0,61500.0,petrol,dealer,manual,first owner,18.5,1197.0,82.85,5.0
maruti swift dzire ldi,2016.0,600000.0,150000.0,diesel,individual,manual,first owner,26.59,1248.0,74,5.0
hyundai xcent 1.2 kappa sx option at,2016.0,565000.0,72000.0,petrol,dealer,automatic,first owner,19.1,1197.0,82,5.0
maruti alto lx bsiii,2008.0,120000.0,68000.0,petrol,dealer,manual,third owner,19.7,796.0,46.3,5.0
hyundai i20 1.4 asta option,2017.0,725000.0,110000.0,diesel,individual,manual,first owner,22.54,1396.0,88.73,5.0
maruti wagon r vxi,2009.0,185000.0,77000.0,petrol,dealer,manual,second owner,21.79,998.0,67.05,5.0
tata manza aura (abs) quadrajet,2010.0,200000.0,100000.0,diesel,individual,manual,second owner,18.8,1248.0,90,5.0
maruti swift vxi,2019.0,615000.0,10000.0,petrol,individual,manual,first owner,21.21,1197.0,81.8,5.0
maruti eeco 7 seater standard bsiv,2016.0,270000.0,100000.0,petrol,individual,manual,third owner,15.37,1196.0,73,7.0
maruti baleno zeta 1.2,2018.0,610000.0,35000.0,petrol,individual,manual,first owner,21.4,1197.0,83.1,5.0
mahindra scorpio vlx at airbag bsiv,2014.0,625000.0,70000.0,diesel,individual,automatic,second owner,11.79,2179.0,120,
ford freestyle titanium petrol bsiv,2020.0,400000.0,5000.0,petrol,individual,manual,second owner,19.0,1194.0,94.68,5.0
hyundai verna vtvt 1.6 sx,2017.0,866000.0,37800.0,petrol,individual,manual,first owner,17.0,1591.0,121.3,5.0
volkswagen passat 1.8 tsi mt,2010.0,700000.0,114000.0,petrol,individual,manual,first owner,14.3,1798.0,160,5.0
tata indica vista aura 1.2 safire (abs) bs iv,2010.0,300000.0,48000.0,petrol,individual,manual,first owner,15.8,1172.0,65,5.0
mahindra xuv500 w11 option awd,2019.0,,32000.0,diesel,individual,manual,first owner,15.1,2179.0,155,7.0
tata indigo cs ls (tdi) bs-iii,2016.0,375000.0,100000.0,diesel,individual,manual,first owner,19.09,1405.0,69.01,5.0
hyundai verna 1.6 sx,2013.0,522000.0,150000.0,diesel,individual,manual,second owner,22.32,1582.0,126.32,5.0
hyundai i20 magna 1.4 crdi (diesel),2013.0,451999.0,69000.0,diesel,individual,manual,first owner,21.9,1396.0,88.76,5.0
toyota corolla altis g,2009.0,300000.0,100000.0,petrol,individual,manual,second owner,14.53,1798.0,138.1,5.0
maruti celerio vxi,2020.0,475000.0,13000.0,petrol,individual,manual,first owner,21.63,998.0,67.04,5.0
maruti vitara brezza zdi plus dual tone,2016.0,780000.0,60000.0,diesel,individual,manual,first owner,24.3,1248.0,88.5,5.0
maruti swift dzire vxi,2017.0,595000.0,40000.0,petrol,individual,manual,first owner,20.85,1197.0,83.14,5.0
maruti wagon r vxi bs iv,2017.0,440000.0,35000.0,petrol,individual,manual,first owner,20.51,998.0,67.04,5.0
maruti swift vdi bsiv,2010.0,300000.0,120000.0,diesel,individual,manual,second owner,19.44,1248.0,74,5.0
nissan terrano xl 85 ps,2014.0,400000.0,70000.0,diesel,individual,manual,third owner,20.45,1461.0,83.8,5.0
hyundai creta 1.6 crdi sx,2016.0,1140000.0,50000.0,diesel,individual,manual,first owner,19.67,1582.0,126.2,5.0
ford ecosport 1.5 diesel titanium plus bsiv,2017.0,850000.0,76139.0,diesel,individual,manual,first owner,23.0,1498.0,98.96,5.0
maruti swift dzire vdi,2012.0,370000.0,175000.0,diesel,individual,manual,fourth & above owner,19.3,1248.0,73.9,5.0
renault kwid 1.0,2018.0,350000.0,25000.0,petrol,individual,manual,first owner,23.01,999.0,67,5.0
maruti celerio vxi,2015.0,360000.0,40000.0,petrol,individual,manual,second owner,23.1,998.0,67.04,5.0
maruti alto lxi,2008.0,105000.0,65000.0,petrol,individual,manual,fourth & above owner,19.7,796.0,46.3,5.0
maruti ertiga vdi,2013.0,625000.0,90000.0,diesel,individual,manual,second owner,20.77,1248.0,88.76,7.0
hyundai santro xing gls,2009.0,135000.0,80000.0,petrol,individual,manual,second owner,17.92,1086.0,62.1,5.0
maruti ertiga vdi,2015.0,700000.0,110000.0,diesel,individual,manual,second owner,20.77,1248.0,88.76,7.0
honda amaze s i-vtec,2019.0,690000.0,1303.0,petrol,dealer,manual,first owner,17.8,1198.0,86.7,5.0
audi q5 35tdi premium plus,2018.0,400000.0,31800.0,diesel,dealer,automatic,first owner,17.01,1968.0,188,5.0
lexus es 300h,2019.0,400000.0,20000.0,petrol,dealer,automatic,first owner,22.37,2487.0,214.56,5.0
jaguar xf 2.0 diesel portfolio,2017.0,400000.0,45000.0,diesel,dealer,automatic,first owner,19.33,1999.0,177,5.0
jeep wrangler 2016-2019 3.6 4x4,2017.0,400000.0,17000.0,petrol,individual,automatic,first owner,9.5,1248.0,280,5.0
land rover discovery sport td4 se,2019.0,400000.0,21000.0,diesel,dealer,automatic,first owner,12.83,1999.0,148.31,7.0
mercedes-benz s-class s 350 cdi,2017.0,400000.0,37000.0,diesel,dealer,automatic,first owner,13.5,1248.0,254.79,5.0
bmw 5 series 520d sport line,2018.0,400000.0,29500.0,diesel,dealer,automatic,first owner,22.48,1995.0,187.74,5.0
bmw x1 sdrive 20d xline,2017.0,400000.0,27000.0,diesel,dealer,automatic,first owner,19.44,1248.0,74,5.0
bmw x4 m sport x xdrive20d,2019.0,400000.0,7500.0,diesel,dealer,automatic,first owner,16.78,1995.0,190,5.0
skoda superb lk 1.8 tsi at,2018.0,,50000.0,petrol,dealer,automatic,first owner,14.67,1798.0,177.46,5.0
mercedes-benz e-class e250 edition e,2016.0,400000.0,35000.0,diesel,dealer,automatic,first owner,15.0,2143.0,204,5.0
mg hector sharp at bsiv,2019.0,,19000.0,petrol,dealer,automatic,first owner,13.96,1451.0,141,5.0
honda city i-vtec cvt vx,2017.0,795000.0,41000.0,petrol,dealer,automatic,first owner,18.0,1497.0,117.6,5.0
toyota corolla altis 1.8 g cvt,2013.0,625000.0,39000.0,petrol,dealer,automatic,first owner,14.28,1798.0,138.03,5.0
volvo xc40 d4 r-design,2018.0,400000.0,22000.0,diesel,dealer,automatic,first owner,18.0,1969.0,190,5.0
audi q7 35 tdi quattro premium,2015.0,400000.0,53000.0,diesel,dealer,automatic,first owner,12.07,1248.0,241.4,7.0
maruti ciaz zdi,2015.0,535000.0,40000.0,diesel,dealer,manual,first owner,26.21,1248.0,88.5,5.0
mercedes-benz s-class s 350 cdi,2017.0,400000.0,47000.0,diesel,dealer,automatic,first owner,13.5,1248.0,282,5.0
bmw 5 series 523i,2010.0,975000.0,72200.0,petrol,dealer,automatic,second owner,10.8,2497.0,150,5.0
hyundai elantra s,2016.0,805000.0,49900.0,petrol,dealer,manual,first owner,16.3,1797.0,147.5,5.0
jaguar xe 2016-2019 2.0l diesel prestige,2017.0,400000.0,9000.0,diesel,dealer,automatic,first owner,13.6,1999.0,177,5.0
tata nexon 1.2 revotron xz plus dual tone,2018.0,811000.0,11000.0,petrol,dealer,manual,first owner,17.0,1198.0,108.5,5.0
volkswagen vento petrol highline,2011.0,375000.0,49000.0,petrol,individual,manual,first owner,15.04,1598.0,103.6,5.0
hyundai elantra sx,2012.0,550000.0,95000.0,petrol,individual,manual,first owner,16.3,1797.0,147.5,5.0
skoda rapid 1.6 mpi at elegance,2016.0,645000.0,11000.0,petrol,dealer,automatic,first owner,14.3,1598.0,103.5,5.0
mercedes-benz cla 200 cgi sport,2018.0,400000.0,18000.0,petrol,dealer,automatic,first owner,15.04,1991.0,183,5.0
maruti ertiga zxi,2014.0,599000.0,46100.0,petrol,dealer,manual,first owner,16.02,1373.0,93.7,7.0
mercedes-benz new c-class c 200 avantgarde,2017.0,400000.0,16000.0,petrol,dealer,automatic,first owner,14.74,1991.0,181.04,5.0
honda city v at,2017.0,875000.0,18000.0,petrol,dealer,automatic,first owner,15.6,1497.0,116.3,5.0
toyota glanza v cvt,2019.0,894999.0,9654.0,petrol,dealer,automatic,first owner,19.56,1197.0,81.8,5.0
maruti alto k10 vxi,2011.0,175000.0,11000.0,petrol,dealer,manual,first owner,23.95,998.0,67.05,5.0
maruti swift vxi,2012.0,340000.0,24300.0,petrol,dealer,manual,first owner,21.21,1197.0,81.8,5.0
toyota innova crysta 2.8 zx at bsiv,2016.0,,42163.0,diesel,dealer,automatic,second owner,11.36,2755.0,171.5,7.0
tata nexon 1.5 revotorq xza plus dualtone,2018.0,1025000.0,8000.0,diesel,dealer,automatic,first owner,21.5,1497.0,108.5,5.0
bmw 3 series 320d luxury line,2016.0,400000.0,30000.0,diesel,dealer,automatic,first owner,22.69,1995.0,190,5.0
toyota camry 2.5 hybrid,2016.0,,41000.0,petrol,dealer,automatic,first owner,19.16,2494.0,157.7,5.0
bmw 5 series 520d luxury line,2016.0,400000.0,12000.0,diesel,dealer,automatic,first owner,18.12,1995.0,190,5.0
toyota camry w4 (at),2009.0,450000.0,71000.0,petrol,dealer,automatic,first owner,12.1,2362.0,164.7,5.0
maruti ertiga bsiv zxi plus,2016.0,850000.0,20000.0,petrol,individual,manual,first owner,17.5,1373.0,91.1,7.0
volvo xc90 t8 excellence bsiv,2017.0,400000.0,30000.0,petrol,individual,automatic,first owner,19.44,1969.0,400,4.0
volkswagen vento diesel highline,2011.0,300000.0,100000.0,diesel,individual,manual,second owner,20.54,1598.0,103.6,5.0
ford figo aspire 1.2 ti-vct trend,2018.0,575000.0,9500.0,petrol,individual,manual,first owner,18.16,1196.0,86.8,5.0
ford figo diesel lxi,2011.0,160000.0,120000.0,diesel,individual,manual,first owner,20.0,1399.0,68,5.0
maruti swift vxi optional,2015.0,515000.0,36600.0,petrol,individual,manual,first owner,20.4,1197.0,81.8,5.0
maruti wagon r amt vxi,2015.0,390000.0,50000.0,petrol,individual,automatic,second owner,20.51,998.0,67,5.0
hyundai i20 magna 1.2,2016.0,550000.0,14000.0,petrol,individual,manual,second owner,18.6,1197.0,81.83,5.0
maruti 800 std,2014.0,40000.0,40000.0,petrol,individual,manual,second owner,16.1,796.0,37,4.0
maruti ritz vdi,2010.0,220000.0,120000.0,diesel,individual,manual,first owner,21.1,1248.0,73.9,5.0
hyundai grand i10 magna,2015.0,425000.0,70000.0,petrol,individual,manual,first owner,18.9,1197.0,82,5.0
volkswagen ameo 1.0 mpi trendline,2019.0,480000.0,13000.0,petrol,individual,manual,first owner,19.44,999.0,75,5.0
hyundai grand i10 sportz,2014.0,400000.0,60000.0,petrol,individual,manual,second owner,18.9,1197.0,82,5.0
maruti swift dzire vxi,2014.0,487000.0,35000.0,petrol,individual,manual,first owner,19.1,1197.0,85.8,5.0
hyundai xcent 1.2 kappa s,2016.0,386000.0,44000.0,petrol,individual,manual,second owner,19.1,1197.0,82,5.0
honda city 1.5 exi,2005.0,100000.0,120000.0,petrol,individual,manual,second owner,13.0,1493.0,100,5.0
toyota corolla altis diesel d4dg,2010.0,300000.0,60000.0,diesel,individual,manual,first owner,21.43,1364.0,87.2,5.0
daewoo matiz sd,2014.0,100000.0,60000.0,petrol,individual,manual,first owner,18.5,796.0,53,5.0
toyota fortuner 4x2 manual,2014.0,,30000.0,diesel,individual,manual,second owner,13.0,1248.0,168.5,7.0
mahindra kuv 100 mfalcon g80 k8,2016.0,450000.0,15000.0,petrol,individual,manual,second owner,18.15,1198.0,82,6.0
tata zest quadrajet 1.3 75ps xm,2017.0,490000.0,90000.0,diesel,individual,manual,first owner,22.95,1248.0,74,5.0
honda city 1.5 s mt,2009.0,345000.0,47000.0,petrol,individual,manual,second owner,17.0,1497.0,118,5.0
maruti zen lxi,2005.0,85000.0,90000.0,petrol,individual,manual,first owner,17.3,993.0,60,5.0
maruti wagon r vxi bs iv with abs,2010.0,215000.0,120600.0,petrol,individual,manual,second owner,18.9,998.0,67.1,5.0
hyundai verna transform sx vtvt,2010.0,320000.0,100000.0,petrol,individual,manual,third owner,16.2,1599.0,103.2,5.0
maruti swift dzire vxi,2016.0,459999.0,60000.0,petrol,individual,manual,second owner,20.85,1197.0,83.14,5.0
hyundai getz gls,2005.0,65000.0,86000.0,petrol,individual,manual,first owner,15.3,1341.0,83,5.0
hyundai elite i20 sportz plus bsiv,2020.0,720000.0,5000.0,petrol,individual,manual,first owner,18.6,1197.0,81.86,5.0
maruti ciaz 1.3 alpha,2017.0,800000.0,37000.0,diesel,individual,manual,first owner,28.09,1248.0,88.5,5.0
tata tigor 1.2 revotron xz,2019.0,520000.0,14000.0,petrol,individual,manual,first owner,20.3,1199.0,84,5.0
maruti ertiga vdi,2015.0,580000.0,70000.0,diesel,individual,manual,first owner,20.77,1248.0,88.76,7.0
toyota etios gd,2012.0,235000.0,120000.0,diesel,individual,manual,first owner,19.44,1248.0,74,5.0
honda city i vtec s,2015.0,600000.0,50000.0,petrol,individual,manual,first owner,17.4,1497.0,117.3,5.0
honda brio s mt,2014.0,290000.0,60000.0,petrol,individual,manual,second owner,19.4,1198.0,86.8,5.0
maruti wagon r lxi cng,2016.0,360000.0,50000.0,cng,individual,manual,first owner,26.6,998.0,58.16,5.0
maruti swift dzire vxi,2017.0,550000.0,50000.0,petrol,individual,manual,first owner,20.85,1197.0,83.14,5.0
hyundai i20 sportz 1.2,2013.0,375000.0,70000.0,petrol,individual,manual,first owner,18.5,1197.0,82.85,5.0
maruti omni e 8 str std,2003.0,40000.0,90000.0,petrol,individual,manual,second owner,19.44,1248.0,74,5.0
maruti wagon r amt vxi,2018.0,420000.0,35000.0,petrol,individual,automatic,first owner,20.51,998.0,67,5.0
maruti swift dzire vxi 1.2,2017.0,550000.0,20000.0,petrol,individual,manual,first owner,21.21,1197.0,81.8,5.0
maruti alto 800 lxi,2018.0,270000.0,20000.0,petrol,individual,manual,first owner,24.7,796.0,47.3,5.0
maruti swift dzire amt vxi bs iv,2018.0,700000.0,7800.0,petrol,individual,automatic,first owner,22.0,1197.0,81.8,5.0
maruti swift vxi optional,2017.0,500000.0,20000.0,petrol,individual,manual,first owner,20.4,1197.0,81.8,5.0
tata hexa xe,2019.0,1250000.0,15000.0,diesel,individual,manual,first owner,17.6,2179.0,147.94,7.0
hyundai i20 magna,2013.0,320000.0,31377.0,petrol,individual,manual,second owner,18.5,1197.0,82.85,5.0
maruti swift dzire vdi,2018.0,700000.0,50000.0,diesel,individual,manual,first owner,28.4,1248.0,74.02,5.0
maruti wagon r vxi bs iv,2015.0,290000.0,60000.0,petrol,individual,manual,first owner,20.51,998.0,67.04,5.0
toyota corolla altis 1.8 vl at,2012.0,550000.0,100000.0,petrol,individual,automatic,first owner,14.53,1794.0,138.1,5.0
honda brio s mt,2012.0,265000.0,60000.0,petrol,individual,manual,first owner,19.4,1198.0,86.8,5.0
maruti baleno alpha automatic,2018.0,830000.0,5000.0,petrol,individual,automatic,first owner,21.4,1197.0,83.1,5.0
tata safari storme ex,2017.0,800000.0,60000.0,diesel,individual,manual,first owner,14.1,2179.0,147.94,7.0
maruti alto lxi,2011.0,160000.0,25000.0,petrol,individual,manual,second owner,19.7,796.0,46.3,5.0
renault kwid rxt,2018.0,335000.0,30000.0,petrol,individual,manual,first owner,25.17,799.0,53.3,5.0
datsun go t bsiv,2017.0,329000.0,80000.0,petrol,individual,manual,second owner,20.63,1198.0,67,5.0
maruti vitara brezza vdi option,2017.0,775000.0,75000.0,diesel,individual,manual,first owner,24.3,1248.0,88.5,5.0
hyundai xcent 1.2 vtvt sx,2020.0,524000.0,32000.0,petrol,individual,manual,first owner,20.14,1197.0,81.86,5.0
maruti alto 800 lxi,2015.0,245000.0,40000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
hyundai i20 1.2 sportz,2012.0,275000.0,93000.0,petrol,individual,manual,second owner,17.0,1197.0,80,5.0
tata zest revotron 1.2 xt,2018.0,520000.0,60000.0,petrol,individual,manual,first owner,17.57,1193.0,88.7,5.0
maruti swift 1.3 vxi,2008.0,130000.0,120000.0,petrol,individual,manual,second owner,19.44,1248.0,74,5.0
nissan sunny xl,2014.0,550000.0,37000.0,petrol,individual,manual,first owner,16.95,1498.0,97.7,5.0
ford ecosport 1.5 petrol titanium plus bsiv,2018.0,910000.0,15000.0,petrol,individual,manual,first owner,17.0,1497.0,121.36,5.0
